id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_installed_base_both,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_both_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
C_1,6,2000,1,0,all,0.03659136366984539,-0.010294014136568608,0.6486313939094543,0.5167593955993652,0.14691706001758575,1.7889620065689087,1.935879111289978,0.7549999952316284,0.3790000081062317,0.1340000033378601,0.9869999885559082,0.013000000268220901,0.0,0.9869999885559082,0.013000000268220901,0.0,1.0,,,,,,,,,
C_1,6,2000,2,0,all,0.03659136366984539,-0.010294014136568608,1.0518157482147217,0.5797509551048279,0.5075989961624146,1.302171230316162,1.8097702264785767,0.8709999918937683,0.19600000977516174,0.06700000166893005,0.906333327293396,0.09366666525602341,0.0,0.906333327293396,0.09366666525602341,0.0,0.9182708263397217,1.0,0.99609375,0.9921875,0.90625,0.6875,1.0,1.0,1.0,1.0
C_1,7,2000,0,0,all,0.032261015375564694,0.015509333950159077,0.46235191822052,0.6085024476051331,-0.00846092402935028,2.3215267658233643,2.313065767288208,0.5099999904632568,0.49000000953674316,0.0,1.0,0.26899999380111694,0.0,0.7310000061988831,0.0,0.26899999380111694,,,,,,,,,,
C_1,7,2000,1,0,all,0.032261015375564694,0.015509333950159077,0.6456989645957947,0.5157026648521423,0.14448565244674683,1.7976667881011963,1.942152500152588,0.7549999952316284,0.37950000166893005,0.13449999690055847,0.9906666278839111,0.009333333000540733,0.0,0.9906666278839111,0.009333333000540733,0.0,1.0,,,,,,,,,
C_1,7,2000,2,0,all,0.032261015375564694,0.015509333950159077,1.0508838891983032,0.577944815158844,0.5070582032203674,1.304136037826538,1.8111941814422607,0.8728333115577698,0.19441667199134827,0.06724999845027924,0.9073333144187927,0.09266666322946548,0.0,0.9073333144187927,0.09266666322946548,0.0,0.9158815741539001,1.0,1.0,0.9921875,0.90234375,0.6875,1.0,1.0,1.0,1.0
C_1,8,2000,0,0,all,0.03125488160615031,-0.013717076880948476,0.46386295557022095,0.6084212064743042,-0.007549986243247986,2.312352180480957,2.304802179336548,0.5099999904632568,0.49000000953674316,0.0,1.0,0.26366665959358215,0.0,0.7363333106040955,0.0,0.26366665959358215,,,,,,,,,,
C_1,8,2000,1,0,all,0.03125488160615031,-0.013717076880948476,0.6512042284011841,0.515002965927124,0.14907041192054749,1.7822757959365845,1.9313461780548096,0.7549999952316284,0.37683331966400146,0.13183332979679108,0.984333336353302,0.015666667371988297,0.0,0.984333336353302,0.015666667371988297,0.0,1.0,,,,,,,,,
C_1,8,2000,2,0,all,0.03125488160615031,-0.013717076880948476,1.0537389516830444,0.5799646377563477,0.5085724592208862,1.2988322973251343,1.8074047565460205,0.8696666955947876,0.19624999165534973,0.06591666489839554,0.9046666622161865,0.09533333033323288,0.0,0.9046666622161865,0.09533333033323288,0.0,0.9190653562545776,0.9999999403953552,0.99609375,0.9921875,0.8984375,0.66796875,1.0,1.0,1.0,1.0
C_1,9,2000,0,0,all,0.02839929247777928,0.027379348621643818,0.46362441778182983,0.6094012260437012,-0.00767599418759346,2.310420274734497,2.3027443885803223,0.5099999904632568,0.49000000953674316,0.0,1.0,0.26233333349227905,0.0,0.737666666507721,0.0,0.26233333349227905,,,,,,,,,,
C_1,9,2000,1,0,all,0.02839929247777928,0.027379348621643818,0.6477291584014893,0.5137342810630798,0.14621055126190186,1.7925143241882324,1.9387248754501343,0.7549999952316284,0.3761666715145111,0.13116666674613953,0.9886666536331177,0.01133333332836628,0.0,0.9886666536331177,0.01133333332836628,0.0,0.9999999403953552,,,,,,,,,
