id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
0_1,0,2000,0,0,all,0.004165072968347117,0.0009610392336379947,0.7610716819763184,0.750182569026947,0.2558884620666504,0.8099045753479004,1.0657930374145508,0.6000000238418579,0.4000000059604645,0.5239999890327454,0.47599998116493225,0.0,0.5239999890327454,0.47599998116493225,,,0.62890625,0.35546875,0.0703125,0.015625,1.0,1.0,0.0,0.0
0_1,1,2000,0,0,all,0.005697807153900891,0.0025711730534099253,0.7574470043182373,0.7487219572067261,0.25321826338768005,0.812598705291748,1.0658169984817505,0.6000000238418579,0.4000000059604645,0.515333354473114,0.4846666753292084,0.0,0.515333354473114,0.4846666753292084,,,0.62890625,0.359375,0.0703125,0.01953125,1.0,1.0,0.0,0.0
0_1,2,2000,0,0,all,-0.003031158954977853,0.005124255788603316,0.7516449689865112,0.7410869002342224,0.246619313955307,0.8191736936569214,1.0657930374145508,0.6000000238418579,0.4000000059604645,0.5239999890327454,0.47599998116493225,0.0,0.5239999890327454,0.47599998116493225,,,0.66015625,0.36328125,0.07421875,0.0234375,1.0,1.0,0.0,0.0
0_1,3,2000,0,0,all,-0.0007970409237583187,-0.001111612541972562,0.7586895227432251,0.7495121359825134,0.2542874217033386,0.8115170001983643,1.0658044815063477,0.6000000238418579,0.4000000059604645,0.5203333497047424,0.47966665029525757,0.0,0.5203333497047424,0.47966665029525757,,,0.65234375,0.34375,0.0703125,0.0234375,1.0,1.0,0.0,0.0
0_1,4,2000,0,0,all,-0.0007570570041903757,0.0015554988905910339,0.7459477782249451,0.7363905906677246,0.24135076999664307,0.8244573473930359,1.0658080577850342,0.6000000238418579,0.4000000059604645,0.5189999938011169,0.48100000619888306,0.0,0.5189999938011169,0.48100000619888306,,,0.6640625,0.39453125,0.08203125,0.0234375,1.0,1.0,0.0,0.0
0_1,5,2000,0,0,all,0.0023633554216676567,-0.0005973222292960934,0.7524228096008301,0.7463111877441406,0.24942812323570251,0.8163982629776001,1.065826416015625,0.6000000238418579,0.4000000059604645,0.5099999904632568,0.49000000953674316,0.0,0.5099999904632568,0.49000000953674316,,,0.625,0.37890625,0.0703125,0.0234375,1.0,1.0,0.0,0.0
0_1,6,2000,0,0,all,-0.0005259980952465604,0.003091816037009365,0.7455920577049255,0.7395634651184082,0.2426782250404358,0.8231356739997864,1.0658138990402222,0.6000000238418579,0.4000000059604645,0.5166666507720947,0.4833333194255829,0.0,0.5166666507720947,0.4833333194255829,,,0.65234375,0.38671875,0.08203125,0.0234375,1.0,1.0,0.0,0.0
0_1,7,2000,0,0,all,0.00831786671921353,-0.005756113035959798,0.7487243413925171,0.7429205775260925,0.24588049948215485,0.8199459314346313,1.065826416015625,0.6000000238418579,0.4000000059604645,0.5099999904632568,0.49000000953674316,0.0,0.5099999904632568,0.49000000953674316,,,0.65234375,0.37109375,0.078125,0.01953125,1.0,1.0,0.0,0.0
0_1,8,2000,0,0,all,0.003086303053218664,-0.002876218403884412,0.7507084012031555,0.7401404976844788,0.24564990401268005,0.820151686668396,1.0658016204833984,0.6000000238418579,0.4000000059604645,0.5213333368301392,0.47866666316986084,0.0,0.5213333368301392,0.47866666316986084,,,0.6640625,0.3828125,0.0703125,0.01953125,1.0,1.0,0.0,0.0
0_1,9,2000,0,0,all,0.004363877183782172,-0.0031141678189292588,0.7626495361328125,0.7525205612182617,0.25770658254623413,0.8081166744232178,1.0658233165740967,0.6000000238418579,0.4000000059604645,0.5119999647140503,0.4880000054836273,0.0,0.5119999647140503,0.4880000054836273,,,0.64453125,0.34375,0.0703125,0.015625,1.0,1.0,0.0,0.0
0_2,0,2000,0,0,all,0.0050132980733497146,-0.002975388712685323,0.7253802418708801,0.725974440574646,0.22567299008369446,0.8401566743850708,1.0658296346664429,0.5,0.5,0.5073333382606506,0.49266666173934937,0.0,0.5073333382606506,0.49266666173934937,,,,,,,,,,
0_2,0,2000,1,0,all,0.0050132980733497146,-0.002975388712685323,0.7590140104293823,0.755622386932373,0.25732722878456116,0.8085055351257324,1.0658327341079712,0.5036666393280029,0.4963333308696747,0.5026666522026062,0.4973333179950714,0.0,0.5026666522026062,0.4973333179950714,0.9908015727996826,0.9999999403953552,0.65625,0.40625,0.08203125,0.0234375,0.0,0.0,0.0,0.0
0_2,1,2000,0,0,all,0.0056943329187167935,-0.0001649987668579378,0.7224915623664856,0.7240807414054871,0.2232840359210968,0.842549204826355,1.0658332109451294,0.5,0.5,0.5013333559036255,0.4986666738986969,0.0,0.5013333559036255,0.4986666738986969,,,,,,,,,,
0_2,1,2000,1,0,all,0.0056943329187167935,-0.0001649987668579378,0.7553078532218933,0.754828691482544,0.25506794452667236,0.8107653856277466,1.065833330154419,0.5006666779518127,0.49933332204818726,0.49933332204818726,0.5006666779518127,0.0,0.49933332204818726,0.5006666779518127,0.9960106015205383,1.0,0.64453125,0.41796875,0.0859375,0.02734375,0.0,0.0,0.0,0.0
0_2,2,2000,0,0,all,-0.001706193535765399,0.0026930218797256433,0.7166556119918823,0.7165740728378296,0.21661552786827087,0.8492130041122437,1.065828561782837,0.5,0.5,0.5083333253860474,0.49166667461395264,0.0,0.5083333253860474,0.49166667461395264,,,,,,,,,,
0_2,2,2000,1,0,all,-0.001706193535765399,0.0026930218797256433,0.7500429749488831,0.7466953992843628,0.24837924540042877,0.8174535036087036,1.0658327341079712,0.5041666626930237,0.4958333373069763,0.503000020980835,0.4970000088214874,0.0,0.503000020980835,0.4970000088214874,0.9895082116127014,1.0,0.6953125,0.41796875,0.10546875,0.02734375,0.0,0.0,0.0,0.0
0_2,3,2000,0,0,all,0.003222614061178408,-3.2069666933365326e-05,0.7239886522293091,0.7248939871788025,0.22443920373916626,0.841393768787384,1.0658329725265503,0.5,0.5,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,,,,,,,,,,
0_2,3,2000,1,0,all,0.003222614061178408,-3.2069666933365326e-05,0.756249189376831,0.7562402486801147,0.2562447190284729,0.8095885515213013,1.065833330154419,0.5011667013168335,0.4988333284854889,0.5013333559036255,0.4986666738986969,0.0,0.5013333559036255,0.4986666738986969,0.9980093240737915,1.0,0.6796875,0.3984375,0.08984375,0.01953125,0.0,0.0,0.0,0.0
0_2,4,2000,0,0,all,-0.0014386655023439499,0.0015776379127050433,0.7115734219551086,0.7118136882781982,0.2116926610469818,0.8541396856307983,1.0658323764801025,0.5,0.5,0.5036666393280029,0.4963333308696747,0.0,0.5036666393280029,0.4963333308696747,,,,,,,,,,
0_2,4,2000,1,0,all,-0.0014386655023439499,0.0015776379127050433,0.7448869943618774,0.7423034310340881,0.2435934841632843,0.822239875793457,1.065833330154419,0.5018333196640015,0.49816668033599854,0.49933332204818726,0.5006666779518127,0.0,0.49933332204818726,0.5006666779518127,0.991396427154541,1.0,0.70703125,0.44140625,0.109375,0.02734375,0.0,0.0,0.0,0.0
0_2,5,2000,0,0,all,-0.0013641356101374846,0.00025438457687865235,0.7185304164886475,0.7216363549232483,0.22010409832000732,0.8457261919975281,1.0658302307128906,0.5,0.5,0.4933333396911621,0.5066666603088379,0.0,0.4933333396911621,0.5066666603088379,,,,,,,,,,
0_2,5,2000,1,0,all,-0.0013641356101374846,0.00025438457687865235,0.7501289248466492,0.7535021901130676,0.2518380582332611,0.8139922022819519,1.0658302307128906,0.49666666984558105,0.503333330154419,0.4933333396911621,0.5066666603088379,0.0,0.4933333396911621,0.5066666603088379,1.0,1.0,0.67578125,0.41796875,0.08203125,0.015625,0.0,0.0,0.0,0.0
0_2,6,2000,0,0,all,-0.0006484188259126,-0.0011557793919263482,0.7118811011314392,0.7148347496986389,0.213367760181427,0.8524647951126099,1.0658326148986816,0.5,0.5,0.49666666984558105,0.503333330154419,0.0,0.49666666984558105,0.503333330154419,,,,,,,,,,
0_2,6,2000,1,0,all,-0.0006484188259126,-0.0011557793919263482,0.7443435192108154,0.7459590435028076,0.24516475200653076,0.8206637501716614,1.065828561782837,0.4983333349227905,0.5016666650772095,0.49166667461395264,0.5083333253860474,0.0,0.49166667461395264,0.5083333253860474,0.9899329543113708,1.0,0.68359375,0.41796875,0.1171875,0.02734375,0.0,0.0,0.0,0.0
0_2,7,2000,0,0,all,0.0018065170259401464,-0.0040398391413623,0.7148813605308533,0.718161940574646,0.21654024720191956,0.8492908477783203,1.0658310651779175,0.5,0.5,0.49433332681655884,0.5056666731834412,0.0,0.49433332681655884,0.5056666731834412,,,,,,,,,,
0_2,7,2000,1,0,all,0.0018065170259401464,-0.0040398391413623,0.7470954656600952,0.7498811483383179,0.24850594997406006,0.8173246383666992,1.0658305883407593,0.4971666634082794,0.502833366394043,0.4936666488647461,0.5063333511352539,0.0,0.4936666488647461,0.5063333511352539,0.9986514449119568,1.0,0.6875,0.41015625,0.1015625,0.01953125,0.0,0.0,0.0,0.0
